Category Display Name,Attribute Display Name,Category Name,Attribute Name,Data Type,Input/Output,Description
New Business Template,Borrower State,newBusinessTemplate,borrowerState,String,,The state or province where the borrower is located. Valid values are 2 letter state abbreviations defined here: https://pe.usps.com/text/pub28/28apb.htm or 2 letter province abbreviations defined here: https://pe.usps.com/text/pub28/28apa_005.htm.
New Business Template,Borrower Zip Code,newBusinessTemplate,borrowerZipCode,String,,The zip code where the borrower is located.
New Business Template,Primary Industry NAICS 2017,newBusinessTemplate,primaryIndustryNAICS,String,,"The North American Industry Classification System (NAICS) 2017 primary industry for the obligor/assuming entity's economic activity.<br> When marked as conditional, this a required input to lookup the Moody's sector (i.e. GCorr sector) for use in models such as the GCorr, MA CI Proxy PD/LGD and Loss Rate models, MA Public Firm TTC to PIT PD Converter, MA Private Firm TTC to PIT PD Converter, and RiskCalc LGD."
New Business Template,Primary Industry SIC,newBusinessTemplate,primaryIndustrySIC,String,,"The Standard Industrial Classification (SIC) is a four-digit code for the primary industry for the obligor/assuming entity's economic activity.<br>When marked as conditional, this is a required input to lookup the Moody's sector (i.e. GCorr sector)."
Instrument Result,Adjustment Reason,instrumentResult,adjustmentReason,String,Output,"More detail to describe the reason for the adjustment. Values are: Economic Conditions, External Factors, Future Economic Conditions, Historical Loss Experience, Political Risk, Competition, Lending Management, Underwriting, Loan Review Quality, Concentrations, Problem Loans, Value of Collateral, and Other."
New Business Template,Muni Sector,newBusinessTemplate,muniSector,String,,"The sectors for municipalities. Valid values are: Airports, Healthcare, Higher Education, Housing, Local Governments, Not-For-Profit, Public Power, Ports, Public Power, States, Toll Facilities, and Water & Sewer. Marked as conditional as this is a required input for the MA Muni Loss Forecast model when the CUSIP is not provided."
New Business Template,Moody's Industry Sector,newBusinessTemplate,moodysIndustrySector,String,,"The industry or sector recognized by Moody's models. Valid values are Agriculture, ArtsAndEntertainment, Auto, Business_Products, Business_Services, Communication, Construction, Consumer_Products, Finance, Education, Health_Care, HiTech, Manufacturing, Mining, Other, Other_Services, Services, Trade, Transportation, Unassigned, and Utilities.<br>The values listed support the following models: MA CI Loss Rate, MA CI Proxy PD/LGD, and  MA Private Firm TTC to PIT PD Converter. For each model, it is a required input and each model uses a subset of the values listed above. The ImpairmentStudio Data Integration Guide provides the sector values that each model supports.<br>If this field is set to a Moody's industry sector value that is not supported by the specific Moody's model, the model use the value Unasssigned."
New Business Template,Moody's LGD Sector,newBusinessTemplate,moodysLGDSector,String,,"The Moody's LGD sector. Valid values are: AerospaceMeasure, BanksAndSL, CableTVPrintingPublishing, ConsumerGoodsAndDurables, Equipment, General, HighTech, MaterialsExtraction, Medical, Municipals, OtherFinancials, REIT, Sovereign, Transportation, Unknown, and Utilities.<br>This is required for the RiskCalc LGD model."
New Business Template,Total Sales,newBusinessTemplate,totalSales,Amount,,"Total sales of the borrower. The amount entered in instrument or entity reference must be in USD. The amount in the financial statement is in the currency for the financial statement. When marked as conditional, the value in instrument reference is a required input to lookup the GCorr R-squared parameters for private non financial firms."
New Business Template,Total Assets,newBusinessTemplate,totalAssets,Amount,,"The total assets of the borrower which is the sum of the current assets, plus net property, plant, and equipment, plus other non-current assets (including intangible assets, deferred items, and investments and advances). The amount entered in instrument or entity reference must be in USD. The amount in the financial statement is in the currency for the financial statement. The amount in instrument reference is a required input for the MA CI Proxy PD/LGD models as it is used to calculate the Total Assets Size Bucket. When marked as conditional, the amount in instrument reference is a required input to lookup the GCorr R-squared parameters for private financial firms."
