tenantIdentifier,macroeconomicVariableName,macroeconomicVariableDescription,macroeconomicVariableType,macroeconomicVariableUnits,macroeconomicVariableCurrency,macroeconomicVariableFactor,scenarioStudioMnemonics,databuffetMnemonic
moodys,Kenya GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
moodys,Korea GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,KRW,1000000000,,
moodys,Lebanon GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
moodys,Latvia GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,EUR,1000000000,,
moodys,Mexico GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,MXN,1000000000,,
moodys,Malta GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,EUR,1000000000,,
moodys,Mozambique GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
moodys,Malaysia GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,MYR,1000000000,,
moodys,Nigeria GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
moodys,Netherlands GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,EUR,1000000000,,
moodys,New Zealand GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,NZD,1000000000,,
moodys,Peru GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,PEN,1000000000,,
moodys,Philippines GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,PHP,1000000000,,
moodys,Poland GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,PLN,1000000000,,
moodys,Portugal GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,EUR,1000000000,,
moodys,Qatar GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
moodys,Romania GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,RON,1000000000,,
moodys,Russian Federation GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,RUB,1000000000,,
moodys,Saudi Arabia GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,SAR,1000000000,,
moodys,Senegal GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
moodys,Singapore GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,SGD,1000000000,,
moodys,Sierra Leone GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
moodys,Seychelles GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,,,,
moodys,Thailand GDP (Modified),Modified scenario with 2020Q2 value replaced by 2020Q1 value,,Level,THB,1000000000,,
